optimizer,class,per_class_accuracy
MyAdam,0,0.9777777777777777
MyAdam,1,0.9130434782608695
MyAdam,2,0.8636363636363636
MyAdam,3,0.9347826086956522
MyAdam,4,0.9111111111111111
MyAdam,5,0.8695652173913043
MyAdam,6,0.9333333333333333
MyAdam,7,1.0
MyAdam,8,0.7674418604651163
MyAdam,9,0.8444444444444444
MyRMSProp,0,0.9555555555555556
MyRMSProp,1,0.9347826086956522
MyRMSProp,2,0.8863636363636364
MyRMSProp,3,0.9347826086956522
MyRMSProp,4,0.9333333333333333
MyRMSProp,5,0.9347826086956522
MyRMSProp,6,0.9555555555555556
MyRMSProp,7,1.0
MyRMSProp,8,0.7441860465116279
MyRMSProp,9,0.8444444444444444
