feature_1,feature_2,target,split
-1.3419,-0.7182,0,train
1.611,0.3858,1,train
-0.7554,-0.7119,0,train
0.6565,0.6145,1,train
-1.5244,-0.3353,0,train
1.1626,0.9224,1,train
-1.0549,-1.539,0,train
1.3574,1.1395,1,train
-0.9387,-0.2707,0,train
1.0938,1.1883,1,train
-0.529,-0.5134,0,train
1.0456,0.7883,1,train
-0.9986,-1.2071,0,train
1.5064,0.794,1,train
-1.0923,-0.981,0,train
0.8022,0.7493,1,train
-1.3009,-0.7633,0,train
1.0159,1.0404,1,train
-0.6516,-0.6483,0,validation
1.4149,0.618,1,validation
-0.9858,-0.8059,0,validation
0.8208,0.7221,1,validation
-0.7941,-0.4332,0,validation
1.4834,0.5075,1,validation
